#,Scene Name,Subscene,Notes,Narration,Camera Movement,Transition
12,Evolution,Milestones,,"To improve discrimination between identities, researchers began focusing on directly optimizing the geometric structure of the embedding space. This development progressed through several major milestones. In 2015, FaceNet marked a major advance in modern face recognition. FaceNet used Triplet Loss to learn how to pull embeddings of the same person closer together while pushing embeddings of different people farther apart. However, this method still faced difficulties in selecting effective triplets and achieving stable optimization. By 2017, researchers began to recognize that, in the embedding space, the direction of an embedding is more important than its absolute magnitude. This led to the emergence of methods that optimize angular distance. Also in 2017, SphereFace introduced Angular Margin to create stricter separation boundaries between identities in the feature space. In 2018, CosFace further improved this idea by directly optimizing Cosine Margin, making training more stable and effective. Also in 2018, ArcFace was proposed with Additive Angular Margin—a geometrically simpler and more intuitive approach that produces a more discriminative embedding space. Because it can create embeddings that are compact within the same class while remaining clearly separated across different classes, ArcFace quickly became one of the most widely used and effective methods in face recognition.","The camera starts on the left side at FaceNet, then smoothly tracks to the right along the timeline, stopping at each milestone as it is explained. Finally, zoom out to show the entire timeline in a single frame.",Scene 6 → Scene 8
13,,Transition,,"Although these methods approach the problem in different ways, they gradually converge on the same conclusion: effective face recognition is not only about correct classification, but also about organizing the geometry of the embedding space so that the boundaries are sufficiently clear. Embeddings of the same identity need to be compact enough, while different classes need to be separated by a sufficiently clear distance. In other words, the objective is no longer merely to create a decision boundary for classification, but to create a decision boundary with a sufficiently large margin between identity classes. This is the core idea of ArcFace.",,
14,ArcFace Core,A. Abstract Introduction,,"We now arrive at the most important part of the video: ArcFace. ArcFace is a training method for face recognition neural networks introduced in 2018 and widely adopted from 2019 onward. The core idea of ArcFace is not only to classify the identity correctly, but also to create an embedding space with clearer separation boundaries. In standard softmax, it is enough for the correct class to have a higher probability than the remaining classes. ArcFace goes further. It forces the embedding of the correct class to be separated from other classes by a clear angular gap called an angular margin. In other words, ArcFace does not merely require the model to conclude that “these two people are different.” It requires them to be “sufficiently different in the embedding space.”","The camera stays centered, then performs a slight dolly-out to show both sides. Pan gently to the left for about two seconds, then to the right for about two seconds to highlight the difference.",Scene 7 → Scene 9
15,ArcFace Core,B. Why Angle?,,"But why use angular difference rather than another factor? Earlier face recognition methods often relied mainly on Euclidean distance—that is, the direct straight-line distance between two points in the feature space. However, later studies observed that the absolute magnitude of an embedding can vary considerably due to lighting, camera distance, or image-acquisition conditions. By contrast, the direction of an embedding is often more stable and carries more identity-discriminative information.
Imagine standing in a room and looking at another person. You want to measure the distance between you and that person. If you measure only Euclidean distance, the result changes whenever you or the other person moves within the room. But if you consider only the angle through which you must turn your head to look at that person, this angle can be more stable than the absolute position. This illustrates why the direction of a vector often contains more stable information than its absolute magnitude. Similarly, in face recognition, ArcFace focuses on angular distance rather than relying only on Euclidean distance.",,
16,ArcFace Core,B. 2D Visual Comparison,,"Let us enter the embedding space from a 2D perspective to visualize the limitation of softmax and the difference introduced by ArcFace. On the left, with softmax, the clusters of different identities have already been separated, but the boundary regions between classes remain relatively ambiguous. Embeddings located near the decision boundary can easily be misclassified when noise, lighting changes, or face-pose changes occur. On the right, with ArcFace, the angular margin pushes the classes farther apart while forcing embeddings of the same identity to become more compact. As a result, the decision boundary becomes much clearer and more stable. The margin can be imagined as a safety gap between groups in a classroom. If two groups of students sit too close to one another, even a small movement by one student can cause confusion. But if there is a clear gap between the two groups, determining which group a student belongs to becomes much more stable. The same principle applies in the embedding space. ArcFace does not merely want points to be classified correctly; it also wants them to lie far enough away from ambiguous boundary regions.","Zoom out to show the overall comparison, then use a fade transition into the 3D visualization.",Scene 7 → Scene 9
17,ArcFace Core,Transition,,"The 2D visualization helps us understand the problem intuitively: classes need to be separated by a clearer boundary region. But to understand how ArcFace actually creates that boundary, we need to examine the embedding space from a geometric perspective. In ArcFace, embeddings are not allowed to lie freely with arbitrary lengths. They are normalized and placed on the surface of a hypersphere. A simple way to imagine this is as follows: instead of allowing points to scatter at many different distances from the center, we force all of them onto the same spherical surface. At that point, what matters is no longer how far a point is from the center, but which direction it points toward.",,
18,ArcFace Core,Why Normalization Matters?,,"This stage is called normalization. Why is this step necessary? Normalization is very important. Without normalization, the model could increase its confidence by increasing the magnitude of the vector, instead of genuinely improving the direction of the embedding representation. In other words, the model could rely on magnitude to make its predictions appear more confident. ArcFace removes this possibility by normalizing both the embedding and the class-representative vectors to the same length. When all vectors have equal length, the model can no longer “rely on magnitude.” It is forced to optimize the angle between vectors. This is why ArcFace focuses on angular distance.",,
19,,Formula,This overlaps with the 3D section.,"We can now understand the core idea of ArcFace. In standard softmax, the model compares an embedding with the representative vector of each class using the cosine value. Put simply, if an embedding forms a smaller angle with class A than with class B, the model tends to classify it as class A. ArcFace makes this condition stricter. For the correct class, ArcFace does not use cos(theta) directly. It uses cos(theta + m), where theta is the angle between the embedding and the representative vector of the correct class, and m is the angular margin. This means that the embedding must not only point roughly in the correct class direction; it must be closer by an additional margin before it is considered good enough.",,
20,,Boundary Shifting Effect,"May be redundant, but needs further review because it contains an important insight.","The angular margin makes the decision boundary stricter. In softmax, an embedding only needs to lie just far enough on the correct side of the boundary to be classified correctly. In ArcFace, however, the embedding must move deeper into the region of the correct class. This is equivalent to creating an additional buffer zone between classes. Points near the boundary are no longer easily accepted as correct. As a result, the model learns embeddings that are more compact within the same class and more clearly separated across different classes.",,
21,ArcFace Core,C. 3D Visualization,,"(Before) Now let us examine the embedding space from a geometric perspective. After normalization, embeddings are constrained to lie on the surface of a hypersphere with radius 1. This means that instead of focusing on vector length, ArcFace focuses only on the angle between vectors. Each embedding forms an angle with the representative vector of its corresponding identity class. ArcFace adds an angular margin to this angle, forcing the embedding of the correct class to move closer toward that class direction in order to be classified correctly. As a result, distances between classes become more explicit, and the decision boundary becomes much stricter.

(After) But to understand how ArcFace truly works, we need to view the embedding space from a geometric perspective. After normalization, all embeddings are projected onto the surface of a hypersphere with radius 1. This removes the influence of vector magnitude and forces the model to focus only on the angle between embeddings. Instead of optimizing Euclidean distance, ArcFace directly optimizes angular distance between an embedding and the representative vector of the corresponding class. ArcFace adds an angular margin to this angle, forcing the embedding of the correct class to move closer toward that class direction in order to be classified correctly. As a result, classes are separated by clearer angular boundaries in the embedding space.","The camera begins outside the sphere in an establishing shot, then slowly dollies in toward the spherical surface. Rotate around the sphere with continuously changing viewpoints to show depth. Zoom into the angle theta as it is explained, then zoom out to show the full structure.",Scene 7 → Scene 9
22,ArcFace Core,Merged with Part C,,"Now we will examine the core mechanism of ArcFace. In standard softmax, the model only requires an embedding to lie on the correct side of the decision boundary in order to be classified correctly. ArcFace makes this condition stricter. Instead of merely requiring correct classification, ArcFace adds an angular margin to the classification process. This means that the embedding of the correct class must not only be correct, but also sufficiently close in angle to the representative vector of that class. Mathematically, ArcFace achieves this by changing the expression from cos(theta) to cos(theta + m), where theta is the angle between the embedding and the class-representative vector, and m is the angular margin. This margin creates a harder and stricter classification condition. To be classified correctly, the embedding must move closer toward the corresponding class direction, rather than merely lying on the correct side of the decision boundary as in standard softmax.","The camera begins outside the sphere in an establishing shot, then slowly dollies in toward the spherical surface. Rotate around the sphere with continuously changing viewpoints to show depth and the embedding points from multiple angles. Zoom into the angle theta as it is explained, then zoom out to show the full structure.",Scene 7 → Scene 9
23,ArcFace vs. CosFace,,,"The key difference between ArcFace and CosFace lies in how the margin is added. CosFace adds the margin directly to the cosine value. ArcFace, by contrast, adds the margin directly to the angle theta. This gives the ArcFace margin a clearer geometric meaning: it corresponds directly to an angular distance on the hypersphere. Therefore, ArcFace is often regarded as a more intuitive and geometrically rigorous formulation.",,
24,Classification-Based Metric Learning,Explain why ArcFace is more practical than FaceNet/Triplet Loss.,,"Another strength of ArcFace is that it learns embeddings through classification-based metric learning. This means that the model is still trained as an identity classification problem, but the loss function is designed to produce a better-structured embedding space. Unlike Triplet Loss, ArcFace does not require manual selection or mining of difficult triplets during training. Instead, every training batch directly contributes to optimizing the angular boundaries between classes. This makes the training process more stable and easier to scale.",,
25,Practical Effects,,,"(1) ArcFace works effectively because it directly optimizes the geometry of the feature space. Let us compare the two sides of the screen. On the left is standard softmax: the clusters are close to one another, the boundaries are blurred, and some points lie in disputed regions. On the right is ArcFace: the clusters are pushed farther apart, the boundaries are much clearer, and the angular distance between classes increases substantially. Because of this larger separation, ArcFace can distinguish identities more accurately, even when faces are relatively similar.

(2) As a result, the embedding space becomes much more clearly organized. Embeddings of the same identity become more compact, while the angular distance between different classes is clearly expanded. This helps ArcFace create more stable decision boundaries, especially in difficult cases such as lighting changes, different face angles, facial expressions, or faces with very similar characteristics. More importantly, ArcFace does not change the architecture of the neural network. What it changes is how the model learns and organizes the embedding space. This ability to directly optimize the geometric structure is what makes ArcFace one of the most effective face recognition methods today.

(3) Through these mechanisms, ArcFace produces a more discriminative embedding space. Embeddings of the same identity are pulled closer together angularly, while different identities are separated by a clear angular margin. This makes the model more stable in difficult situations, such as changes in lighting, variations in face angle, different expressions, or faces with highly similar characteristics. More importantly, ArcFace does not necessarily change the neural network architecture. It changes how the network learns the embedding space through the loss function. This is what makes ArcFace one of the strongest methods in face recognition.","The camera begins at the center of the screen, then splits outward to both sides with a simultaneous dolly-out to reveal both halves of the comparison. Pan gently back and forth between the two sides to highlight the difference. Finally, keep the camera still to show the comparison.",Scene 8 → Scene 10
26,Inference Stage,,Consider removing; useful for understanding the post-training workflow.,"After training is complete, the system no longer needs the final softmax layer for recognition. At this stage, the neural network is used as an embedding extractor. For a new face, the system generates an embedding for that face, then compares it with the embeddings stored in the database. This comparison is usually performed using cosine similarity or angular distance. If the distance is small enough, the system treats the two faces as the same identity. If the distance exceeds a predefined threshold, they are considered to belong to different people.",,
27,Applications,,Can probably be removed because it has already been mentioned above.,"Face embedding systems are widely used in everyday life: from smartphones with Face ID, to ATMs that recognize customers, from airports that automate check-in procedures, to social networks that automatically tag friends in photos. In medical contexts, this technology can even be used to support the diagnosis of genetic disorders based on facial characteristics. Because of its high accuracy and stability, ArcFace has become a foundation for many modern face recognition applications.",,Scene 9 → Scene 11
28,Closing,,,"From simple pixels, a neural network constructs a complex geometric space for representing faces. ArcFace, with its idea of adding a margin to the angular distance, solves the face recognition problem in a stable and effective way. I hope this video has helped you better understand how computers “see” and “recognize” our faces. Thank you for watching!","The camera begins close to an embedding point, then slowly zooms out to reveal the entire embedding space. Continue zooming out to show the network architecture in the background, and finally zoom out completely before fading to black.",Scene 10 → End
29,,,,,,
